Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,plx,e_plx,pmRA*,pmDE,logt,e_logt,N,Ref
MWSC_4140        ,144.272,-77.474,293.056,-18.509,0.213,0.017,-5.198,5.082,9.28,      ,18,MWSC
MWSC_4146        ,165.186,-40.493,281.176,17.656,0.627,0.038,-6.236,1.308,9.1,      ,50,MWSC
MWSC_4158        ,191.137,-38.294,301.446,24.558,0.665,0.039,-8.951,-0.905,9.02,0.072,58,MWSC
MWSC_4170        ,204.228,-39.165,312.479,22.863,0.589,0.036,-8.468,-2.21,9.38,0.024,29,MWSC
MWSC_4176        ,217.371,-85.424,304.99,-22.952,0.325,0.031,-3.769,-3.058,9.315,      ,23,MWSC
MWSC_4178        ,216.915,-44.943,320.283,14.663,0.392,0.028,-6.05,-2.741,9.3,      ,80,MWSC
MWSC_4194        ,226.951,-17.321,343.479,34.601,0.524,0.033,-3.66,-1.749,9.2,      ,14,MWSC
MWSC_4210        ,231.932,-36.54,334.809,16.478,0.229,0.016,-3.989,-2.901,9.08,      ,29,MWSC
MWSC_4211        ,232.915,-37.493,334.884,15.245,0.526,0.037,-4.484,-4.347,8.82,0.035,15,MWSC
MWSC_4212        ,233.216,-30.355,339.634,20.781,0.505,0.033,-2.732,-2.629,9.025,0.02,47,MWSC
MWSC_4218        ,235.174,-33.382,339.019,17.377,0.502,0.021,-3.726,-1.363,9.1,      ,31,MWSC
MWSC_4219        ,235.369,-83.172,307.902,-22.009,0.426,0.033,-4.556,-4.299,9.1,      ,28,MWSC
MWSC_4225        ,237.049,-18.308,351.214,27.556,0.813,0.042,-4.274,-4.331,8.7,      ,34,MWSC
MWSC_4228        ,238.603,-30.632,343.209,17.583,0.499,0.018,-3.694,-2.93,8.74,0.02,28,MWSC
MWSC_4229        ,239.156,-31.733,342.805,16.449,0.443,0.029,-4.735,-2.979,9.015,      ,27,MWSC
MWSC_4248        ,243.218,-29.942,346.713,15.332,0.186,0.129,-2.811,-3.762,8.9,      ,31,MWSC
MWSC_4265        ,247.304,-19.106,357.754,19.863,0.54,0.05,-1.621,-5.794,8.6,      ,15,MWSC
MWSC_4267        ,247.302,-20.172,356.884,19.181,0.517,0.047,-0.481,-3.071,8.25,      ,14,MWSC
MWSC_4286        ,250.393,-30.51,350.575,10.376,0.385,0.024,-3.751,-4.844,8.91,0.041,42,MWSC
MWSC_4287        ,250.692,-24.44,355.53,14.047,0.248,0.159,-2.034,-3.129,7.92,      ,42,MWSC
MWSC_4288        ,250.944,-0.142,16.941,27.994,0.639,0.046,-3.228,-2.886,9.015,0.038,27,MWSC
MWSC_4289        ,251.511,-20.92,358.868,15.645,0.46,0.022,-3.917,-2.319,9.325,0.043,21,MWSC
MWSC_4290        ,251.658,-9.157,8.996,22.495,0.705,0.051,-2.022,-3.023,8.38,0.039,44,MWSC
MWSC_4301        ,254.815,18.396,38.215,32.748,0.54,0.032,-2.581,-7.226,9.415,      ,19,MWSC
MWSC_4312        ,256.649,-19.459,3.035,12.634,0.353,0.033,-3.081,-4.214,8.2,      ,71,MWSC
MWSC_4316        ,257.646,51.617,78.701,36.359,0.506,0.031,0.466,-0.723,9.23,      ,15,MWSC
MWSC_4317        ,257.58,1.264,21.974,22.956,0.388,0.015,-2.402,-3.969,9.425,      ,18,MWSC
MWSC_4330        ,259.27,-15.061,8.208,13.028,0.817,0.04,-2.257,-4.323,8.55,      ,48,MWSC
MWSC_4349        ,261.626,-57.48,333.773,-12.193,0.216,0.013,-3.308,-3.642,8.805,      ,10,MWSC
MWSC_4355        ,262.643,-23.973,2.407,5.494,0.824,0.04,-1.595,-6.035,8.68,      ,14,MWSC
MWSC_4375        ,268.192,9.478,34.892,17.299,0.29,0.021,-3.455,-2.171,9.375,      ,10,MWSC
MWSC_4383        ,269.729,23.034,48.691,21.375,0.445,0.029,-1.918,-4.092,9.095,      ,75,MWSC
MWSC_4408        ,273.951,-60.207,334.229,-19.101,0.501,0.032,-1.975,-4.474,8.495,0.085,35,MWSC
MWSC_4409        ,273.811,31.732,58.79,21.031,0.49,0.027,-0.711,-2.769,8.85,      ,45,MWSC
MWSC_4410        ,274.27,-53.691,340.633,-16.783,0.65,0.042,0.171,-3.951,8.9,0.015,29,MWSC
MWSC_4429        ,278.776,-51.735,343.604,-18.589,0.356,0.029,-2.233,-4.29,9.045,      ,10,MWSC
MWSC_4463        ,284.67,-64.261,331.552,-25.021,0.582,0.032,0.057,-6.042,9.15,      ,38,MWSC
MWSC_4475        ,287.071,-30.215,7.007,-16.616,0.063,0.114,-2.7,-1.511,8.785,      ,31,MWSC
MWSC_4483        ,289.317,-68.509,327.149,-27.449,0.606,0.03,2.605,-5.252,9.31,0.103,29,MWSC
MWSC_4484        ,290.549,-25.102,13.176,-17.535,0.438,0.027,-1.953,-2.642,9.045,      ,10,MWSC
MWSC_4486        ,290.955,-60.688,335.993,-27.32,0.566,0.031,4.752,-4.502,9.3,      ,21,MWSC
MWSC_4498        ,292.968,-46.463,351.905,-25.986,0.713,0.045,-0.394,-8.439,9.36,      ,15,MWSC
MWSC_4500        ,293.386,-33.212,6.006,-22.693,0.301,0.023,-2.573,-2.833,9.2,      ,17,MWSC
MWSC_4511        ,295.408,-24.497,15.501,-21.409,0.41,0.027,-0.596,-1.043,9.5,      ,16,MWSC
MWSC_4545        ,301.976,-49.88,349.108,-32.446,0.87,0.045,0.999,-6.609,9.31,      ,30,MWSC
MWSC_4547        ,303.048,1.517,43.843,-17.156,0.521,0.028,-0.392,-2.685,9.2,      ,34,MWSC
MWSC_4555        ,304.4,-11.332,32.259,-24.205,0.584,0.044,2.942,-3.335,9.505,0.056,15,MWSC
MWSC_4561        ,305.95,5.893,49.329,-17.48,0.514,0.032,-1.958,-4.879,9.4,0.028,91,MWSC
MWSC_4572        ,307.757,-15.18,29.809,-28.751,0.571,0.038,0.844,-4.507,9.34,0.032,37,MWSC
MWSC_4602        ,315.706,10.777,59.314,-22.889,0.888,0.038,0.02,-3.93,8.785,      ,40,MWSC
MWSC_4606        ,316.561,-11.456,37.922,-35.069,1.15,0.05,1.048,-4.608,9.385,      ,50,MWSC
MWSC_4622        ,321.546,-17.777,32.907,-41.986,1.17,0.041,1.887,-7.122,9.3,      ,13,MWSC
MWSC_4668        ,344.468,-77.164,310.658,-38.208,1.094,0.038,10.753,-3.322,9.1,      ,21,MWSC
MWSC_4674        ,350.835,83.993,120.514,21.54,0.594,0.032,-0.037,0.472,9.55,      ,34,MWSC
MWSC_4682        ,355.27,-82.969,305.483,-33.807,1.006,0.029,8.657,0.334,9.28,0.061,32,MWSC
MWSC_4688        ,292.438,-86.684,303.924,-30.327,0.737,0.036,5.14,-0.372,9.39,      ,21,MWSC
MWSC_5004        ,64.559,86.166,126.243,24.714,0.481,0.034,0.338,1.825,9.215,      ,22,MWSC
MWSC_5010        ,94.936,86.007,127.352,26.509,0.439,0.021,0.961,-0.218,9.45,      ,15,MWSC
MWSC_5011        ,96.227,62.648,152.189,20.964,0.984,0.051,1.13,-3.648,9.45,      ,10,MWSC
MWSC_5012        ,96.827,57.468,157.501,19.52,0.442,0.025,0.575,-2.08,9.085,0.039,28,MWSC
MWSC_5016        ,107.337,40.403,177.022,20.393,0.493,0.031,0.148,-3.075,8.81,      ,32,MWSC
MWSC_5018        ,113.636,22.814,196.532,19.281,0.434,0.031,-0.818,-1.782,9.12,      ,26,MWSC
MWSC_5019        ,115.151,32.778,186.959,23.964,0.773,0.041,-0.563,-2.714,8.97,0.05,34,MWSC
MWSC_5022        ,124.108,0.465,222.556,19.041,0.638,0.026,-3.134,-1.013,9.17,0.084,22,MWSC
MWSC_5029        ,131.401,-11.656,237.492,18.926,0.504,0.036,-2.203,0.552,9.285,      ,10,MWSC
MWSC_5033        ,133.963,30.142,194.75,38.796,0.676,0.037,-1.205,-4.496,9.17,0.063,35,MWSC
MWSC_5038        ,138.59,23.947,203.904,41.306,1.174,0.033,-4.391,-6.692,9.3,      ,10,MWSC
MWSC_5042        ,140.307,-7.455,239.309,28.516,0.873,0.037,-3.636,-2.69,9.5,      ,30,MWSC
MWSC_5044        ,141.295,29.917,196.659,44.987,0.789,0.034,-3.27,-3.227,9.57,      ,16,MWSC
MWSC_5051        ,146.477,-7,243.279,33.628,0.795,0.043,-5.226,-4.023,9.45,      ,30,MWSC
MWSC_5058        ,152.089,12.287,225.992,49.079,1.036,0.032,0.436,-2.874,8.95,      ,17,MWSC
MWSC_5060        ,152.639,-14.027,254.394,33.283,0.774,0.042,-3.396,-2.591,9.7,      ,18,MWSC
MWSC_5071        ,158.168,-29.632,270.073,24.243,0.609,0.032,-6.823,1.195,9.45,      ,17,MWSC
MWSC_5076        ,161.693,78.462,130.359,36.804,0.755,0.039,4.185,-1.475,8.85,      ,10,MWSC
MWSC_5088        ,167.176,-32.522,279.04,25.54,0.53,0.026,-6.694,1.434,9.225,      ,31,MWSC
MWSC_5116        ,174.799,-36.347,287.033,24.284,0.6,0.04,-5.186,0.127,9.515,      ,46,MWSC
MWSC_5117        ,175.058,-17.846,279.945,41.826,0.764,0.055,-5.824,-0.074,9.36,      ,19,MWSC
MWSC_5122        ,175.993,-28.778,285.52,31.802,0.582,0.035,-7.154,2.114,9.5,      ,22,MWSC
MWSC_5149        ,184.234,-32.998,294.637,29.317,0.682,0.03,-6.709,-1.978,9.5,      ,19,MWSC
MWSC_5154        ,186.271,4.047,286.539,66.076,1.37,0.054,-3.076,-5.226,9.5,      ,11,MWSC
MWSC_5186        ,197.297,-32.956,307.221,29.768,0.634,0.039,-6.933,-1.73,9.325,      ,44,MWSC
MWSC_5191        ,198.606,-34.212,308.334,28.419,0.917,0.042,-12.248,-2.157,8.975,      ,31,MWSC
MWSC_5215        ,206.524,-41.807,313.726,19.916,0.563,0.049,-6.94,-1.652,9.29,0.032,36,MWSC
MWSC_5224        ,208.684,-31.679,318.363,29.288,0.421,0.019,-6.475,-2.8,9.005,0.001,20,MWSC
MWSC_5231        ,212.15,-19.486,326.838,39.777,0.541,0.042,-8.186,-2.165,9.315,      ,16,MWSC
MWSC_5273        ,226.785,-36.343,331.31,18.942,0.536,0.035,-6.348,-3.554,9.445,0.033,35,MWSC
MWSC_5279        ,227.974,-21.443,341.454,30.725,0.252,0.02,-2.526,-5.613,9.1,      ,14,MWSC
MWSC_5289        ,230.803,-32.504,336.498,20.297,0.484,0.048,-3.206,-2.701,9.45,      ,21,MWSC
MWSC_5292        ,231.847,-26.508,341.173,24.553,0.655,0.059,-7.181,-2.732,9.365,      ,17,MWSC
MWSC_5293        ,232.607,-30.451,339.126,21.027,0.683,0.037,-4.903,-2.16,9.22,0.103,43,MWSC
MWSC_5295        ,233.633,-13.379,352.472,33.379,0.546,0.04,-4.734,-3.76,9.36,      ,15,MWSC
MWSC_5299        ,235.476,-29,342.177,20.595,0.471,0.034,-2.898,-2.744,9.4,      ,40,MWSC
MWSC_5300        ,235.967,-10.317,357.019,33.889,0.707,0.043,-2.885,-3.059,9.4,      ,28,MWSC
MWSC_5301        ,236.301,-27.519,343.798,21.248,0.582,0.038,-3.728,-3.276,9.3,      ,40,MWSC
MWSC_5309        ,242.42,-24.433,350.322,19.693,0.529,0.038,-2.01,-1.845,9.025,      ,23,MWSC
MWSC_5311        ,242.888,-23.217,351.572,20.223,0.625,0.039,-3.184,-2.651,9.05,      ,36,MWSC
MWSC_5312        ,242.952,-15.969,357.429,25.055,0.366,0.014,-2.144,-2.14,9.1,      ,29,MWSC
MWSC_5318        ,245.153,-17.218,357.897,22.642,0.73,0.062,-3.497,-1.281,9.585,      ,17,MWSC
MWSC_5319        ,245.255,-15.139,359.701,23.9,0.613,0.041,-3.446,-4.428,9.5,      ,33,MWSC
MWSC_5321        ,246.716,-8.919,6.093,26.608,0.394,0.027,-2.455,-2.179,9.27,      ,23,MWSC
MWSC_5323        ,246.757,-7.194,7.684,27.593,0.374,0.021,-0.277,-2.256,9.375,      ,16,MWSC
MWSC_5326        ,248.244,-17.091,102.876,20.441,0.537,0.042,-0.569,-1.442,9.485,0.015,12,MWSC
MWSC_5333        ,252.248,16.882,35.453,34.477,0.538,0.039,-3.393,-3.712,9.35,      ,33,MWSC
MWSC_5337        ,256.867,-3.327,17.296,21.28,0.757,0.045,-3.02,-5.229,9.39,0.024,20,MWSC
MWSC_5338        ,256.952,12.015,32.307,28.376,0.221,0.019,-0.3,-3.289,9.405,      ,10,MWSC
MWSC_5340        ,257.622,6.442,27.004,25.355,0.69,0.041,-2.292,-1.947,9.465,0.078,28,MWSC
MWSC_5343        ,258.593,17.332,38.591,29.012,0.539,0.032,-1.647,-2.971,9.355,0.022,21,MWSC
MWSC_5344        ,258.879,4.561,25.8,23.38,0.4,0.028,0.912,-4.943,9.32,0.041,13,MWSC
MWSC_5346        ,259.302,2.226,23.782,21.91,0.361,0.017,-1.652,-5.575,9.31,      ,32,MWSC
MWSC_5348        ,259.807,13.499,35.116,26.443,0.506,0.036,-1.394,-4.446,9.5,      ,15,MWSC
MWSC_5350        ,260.493,4.917,26.947,22.117,0.493,0.04,-1.339,-2.922,9.475,      ,18,MWSC
MWSC_5351        ,260.804,5.34,27.506,22.036,0.797,0.043,-2.439,-5.167,9.2,      ,22,MWSC
MWSC_5354        ,261.308,13.509,35.783,25.112,0.778,0.034,0.554,-0.838,9.25,      ,23,MWSC
MWSC_5356        ,262.078,2.848,25.768,19.757,0.791,0.027,-1.375,-2.171,9.205,      ,27,MWSC
MWSC_5358        ,264.272,6.128,29.925,19.314,0.803,0.031,-0.898,-3.06,9.07,0.034,48,MWSC
MWSC_5359        ,264.516,6.652,30.536,19.331,0.51,0.027,0.707,-4.323,9.205,      ,14,MWSC
MWSC_5365        ,268.567,28.853,54.23,24.361,0.378,0.026,-1.871,-4.267,8.985,0.078,23,MWSC
MWSC_5366        ,269.805,31.841,57.712,24.289,0.525,0.03,0.039,-4.881,9.285,      ,31,MWSC
MWSC_5367        ,270.79,20.149,46.235,19.377,0.292,0.015,-2.412,-6.721,9.15,      ,18,MWSC
MWSC_5368        ,270.868,19.447,45.579,19.036,0.458,0.031,-2.06,-4.579,9.255,      ,26,MWSC
MWSC_5370        ,280.819,46.772,75.89,20.729,0.614,0.031,-1.948,-2.589,9.35,      ,27,MWSC
MWSC_5371        ,282.117,47.234,76.656,20.034,0.463,0.026,-1.161,-3.215,9.035,0.042,46,MWSC
MWSC_5373        ,286.403,56.351,86.762,20.432,0.55,0.031,-0.589,-3.544,9.1,      ,44,MWSC
MWSC_5374        ,289.625,60.61,91.641,20.233,0.599,0.03,-0.932,-0.737,9.26,      ,40,MWSC
MWSC_5377        ,323.359,78.26,113.502,19.198,0.503,0.02,-1.567,-2.515,9.245,0.033,10,MWSC
MWSC_5533        ,12.08,41.626,122.307,-21.242,0.525,0.037,-1.268,-1.098,8.8,      ,19,MWSC
MWSC_5558        ,20.674,37.982,129.695,-24.478,0.601,0.036,1.068,-1.835,9.125,      ,40,MWSC
MWSC_5571        ,27.924,41.492,134.887,-19.976,0.763,0.043,-0.93,-2.429,9.31,      ,38,MWSC
MWSC_5572        ,28.597,-78.969,299.171,-37.695,0.732,0.032,5.185,0.128,9.3,      ,18,MWSC
MWSC_5575        ,29.881,-83.05,300.491,-33.752,0.572,0.028,6.639,2.533,9.2,      ,38,MWSC
MWSC_5602        ,46.249,23.066,158.851,-30.334,0.94,0.055,2.924,-3.14,9.39,      ,10,MWSC
MWSC_5621        ,57.142,22.28,168.225,-24.627,0.678,0.037,1.253,-2.087,9.46,0.13,24,MWSC
MWSC_5623        ,60.309,24.131,169.108,-21.274,0.54,0.024,0.99,-1.46,9.1,      ,18,MWSC
MWSC_5627        ,64.824,20.274,175.188,-20.878,0.388,0.037,0.763,-2.142,9.25,      ,20,MWSC
MWSC_5633        ,68.372,9.4,186.735,-25.005,0.659,0.039,1.219,-2.589,9.1,      ,27,MWSC
MWSC_5634        ,68.821,18.589,179.14,-19.076,0.286,0.021,1.996,-1.162,9.25,      ,23,MWSC
MWSC_5645        ,75.219,10.425,189.973,-18.878,0.23,0.021,1.099,-0.639,9.01,0.034,41,MWSC
MWSC_5651        ,77.689,5.881,195.418,-19.258,0.408,0.032,0.884,-0.299,9.225,      ,30,MWSC
MWSC_5656        ,79.185,2.203,199.583,-19.851,0.853,0.05,1.616,-0.725,8.8,      ,39,MWSC
MWSC_5665        ,92.587,-42.168,249.307,-25.071,0.628,0.015,1.038,2.808,8.875,      ,13,MWSC
MWSC_5667        ,94.521,-31.823,239.1,-20.493,0.445,0.034,1.165,1.788,9.015,      ,19,MWSC
MWSC_5668        ,94.863,-29.36,236.754,-19.358,0.463,0.026,1.054,2.354,8.9,0.048,41,MWSC
MWSC_5670        ,105.852,-51.196,261.478,-19.04,0.555,0.027,-0.139,4.336,8.95,      ,27,MWSC
MWSC_5671        ,106.311,-73.356,284.554,-24.931,0.372,0.017,-0.464,7.939,9.4,      ,12,MWSC
MWSC_5672        ,108.898,-78.442,290.196,-25.339,0.763,0.032,0.919,1.898,9.49,      ,17,MWSC
MWSC_5674        ,121.667,-70.335,283.188,-19.441,0.61,0.034,-3.344,6.895,9.35,      ,36,MWSC
MWSC_5676        ,130.439,-74.776,288.648,-19.377,0.653,0.031,-6.048,6.347,9.15,      ,55,MWSC
MWSC_5679        ,143.166,-78.981,294.024,-19.727,0.532,0.023,-2.173,2.915,8.5,      ,26,MWSC
MWSC_5680        ,145.948,-78.212,293.865,-18.794,0.273,0.055,-5.784,3.913,9.3,      ,16,MWSC
MWSC_5681        ,160.415,-82.012,298.372,-20.315,0.669,0.028,-9.543,3.038,8.98,      ,25,MWSC
MWSC_5684        ,193.857,-86.627,302.996,-23.757,0.751,0.035,-9.191,-3.071,9.18,0.023,25,MWSC
MWSC_5685        ,196.211,-82.046,303.423,-19.188,0.633,0.036,-7.246,-1.723,9.15,      ,43,MWSC
MWSC_5688        ,231.407,-80.118,309.436,-19.255,0.794,0.028,-5.419,-6.635,8.99,      ,42,MWSC
MWSC_5691        ,261.509,-70.725,321.892,-18.873,0.676,0.032,-3.339,-7.757,8.35,      ,20,MWSC
MWSC_5692        ,267.487,-86.619,306.565,-26.186,0.625,0.034,-2.188,-6.769,8.93,      ,28,MWSC
MWSC_5694        ,269.314,-66.809,326.926,-19.697,0.667,0.03,-0.33,-6.913,9,      ,20,MWSC
MWSC_5696        ,272.864,-62.793,331.478,-19.567,0.282,0.094,-1.227,-7.387,8.55,      ,11,MWSC
MWSC_5697        ,276.206,-62.191,332.648,-20.807,0.49,0.032,0.374,-4.664,9.25,      ,29,MWSC
MWSC_5698        ,280.39,-77.718,316.602,-25.938,0.725,0.036,0.712,-7.735,8.89,      ,55,MWSC
MWSC_5701        ,282.364,-53.836,342.235,-21.321,0.846,0.036,0.301,-4.912,8.75,      ,26,MWSC
MWSC_5704        ,286.058,-39.939,357.145,-19.317,0.435,0.034,-0.679,-5.011,9.37,      ,29,MWSC
MWSC_5705        ,286.704,-46.285,350.873,-21.766,0.658,0.041,0.912,-4.93,8.95,0.001,52,MWSC
MWSC_5706        ,287.388,-35.859,1.584,-18.909,0.681,0.035,0.375,-2.574,8.99,0.035,37,MWSC
MWSC_5708        ,288.002,-36.29,1.335,-19.523,0.55,0.016,1.777,-3.562,8.575,      ,10,MWSC
MWSC_5712        ,291.325,-34.484,4.114,-21.479,0.744,0.036,0.65,-2.839,8.745,      ,41,MWSC
MWSC_5713        ,291.339,-35.806,2.769,-21.914,0.565,0.044,0.957,-2.801,9.115,0.059,13,MWSC
MWSC_5715        ,293.402,-26.903,12.403,-20.581,0.551,0.039,1.477,-2.581,8.36,      ,19,MWSC
MWSC_5717        ,293.669,-22.895,16.465,-19.339,0.472,0.024,-1.004,-4.099,8.775,      ,37,MWSC
MWSC_5720        ,295.423,-18.124,21.797,-19.016,0.45,0.032,-2.002,-3.457,9.36,0.015,17,MWSC
MWSC_5723        ,295.525,-60.017,337.003,-29.504,0.98,0.05,0.31,-6.565,9.13,      ,28,MWSC
MWSC_5726        ,298.37,-13.982,27.027,-19.945,0.312,0.016,-0.038,-3.308,8.9,      ,17,MWSC
MWSC_5731        ,300.708,-16.211,25.806,-22.907,0.452,0.034,-0.863,-3.594,9.265,0.028,25,MWSC
MWSC_5732        ,301.037,-12.915,29.209,-21.872,0.588,0.041,-2.108,-3.067,8.65,      ,39,MWSC
MWSC_5735        ,302.366,-12.186,30.506,-22.751,0.689,0.034,-0.744,-3.172,9.25,      ,35,MWSC
MWSC_5737        ,302.76,-17.932,24.893,-25.38,0.584,0.032,-0.289,-4.042,8.925,      ,38,MWSC
MWSC_5740        ,303.907,-0.628,42.302,-18.942,0.433,0.029,-2.127,-5.944,8.825,      ,31,MWSC
MWSC_5745        ,305.281,-3.489,40.307,-21.505,0.646,0.037,-1.211,-3.745,9.08,      ,21,MWSC
MWSC_5748        ,307.222,0.4,44.973,-21.343,0.858,0.034,-0.956,-5.768,8.725,0.12,29,MWSC
MWSC_5749        ,308.013,-78.623,315.012,-31.443,0.361,0.025,2.085,-5.306,9.345,      ,23,MWSC
MWSC_5751        ,308.939,7.986,52.842,-18.912,0.523,0.033,-1.362,-3.192,9.25,      ,40,MWSC
MWSC_5764        ,317.408,19.499,67.792,-18.879,0.477,0.031,0.743,-3.305,9.2,      ,17,MWSC
MWSC_5779        ,325.922,25.809,78.366,-20.398,0.635,0.03,-2.144,-3.774,9.13,      ,32,MWSC
MWSC_5782        ,326.509,20.808,74.995,-24.347,0.622,0.032,-1.077,-4.579,9.29,      ,38,MWSC
MWSC_5800        ,339.071,30.232,91.151,-24.172,0.806,0.044,-1.553,-2.966,8.325,      ,30,MWSC
MWSC_5804        ,340.985,15.026,82.788,-37.714,0.656,0.033,-3.06,-3.708,9.465,      ,14,MWSC
MWSC_5811        ,345.746,-12.338,57.796,-60.612,1.017,0.036,6.096,-0.05,9.425,      ,15,MWSC
MWSC_5828        ,357.68,41.42,110.869,-20.025,0.615,0.034,-2.869,-2.322,9.2,      ,23,MWSC
MWSC_5901        ,112.522,27.047,191.961,19.901,0.661,0.023,-0.64,-2.585,9.38,      ,28,MWSC
MWSC_5963        ,85.946,-10.709,215.066,-19.824,0.396,0.036,-0.19,1.08,8.82,      ,16,MWSC
BDSB30           ,333.658,61.443,105.3,4.061,1.117,0.049,-1.567,-2.961,6.6,0.152,33,Cantat-Gaudin et al. 2018
BDSB91           ,96.326,-10.55,219.471,-10.547,1.093,0.056,-3.183,1.168,6.5,0.149,32,Cantat-Gaudin et al. 2018
BDSB93           ,104.294,-8.205,220.89,-2.466,0.782,0.045,-2.503,1.132,6.6,0.152,33,Cantat-Gaudin et al. 2018
BH_121           ,174.677,-63.382,294.892,-1.651,0.404,0.02,-6.02,0.675,6.7,0.154,223,Cantat-Gaudin et al. 2018
BH_151           ,205.05,-61.731,308.672,0.596,0.242,0.016,-5.877,-1.869,9,0.207,36,Cantat-Gaudin et al. 2018
ESO_130_08       ,182.602,-59.476,297.736,2.981,0.736,0.028,-5.947,-0.846,8.5,0.196,117,Cantat-Gaudin et al. 2018
ESO_311_21       ,120.433,-41.597,257.153,-5.841,0.303,0.014,-2.835,5.516,9.4,0.216,64,Cantat-Gaudin et al. 2018
Gulliver_11      ,68.015,43.596,159.461,-3.086,1.069,0.044,0.327,-2.292,7.7,0.177,64,Cantat-Gaudin et al. 2018
Gulliver_12      ,181.187,-61.309,297.357,1.056,0.578,0.019,-5.951,-0.374,8,0.184,52,Cantat-Gaudin et al. 2018
Gulliver_15      ,272.599,-16.716,13.43,1.184,0.532,0.032,-1.021,-1.645,7.8,0.179,84,Cantat-Gaudin et al. 2018
Gulliver_16      ,23.437,60.739,128.082,-1.709,0.254,0.018,-1.274,-0.687,6.7,0.154,57,Cantat-Gaudin et al. 2018
Gulliver_17      ,302.659,35.873,73.237,1.313,0.557,0.029,-1.082,-3.07,7.7,0.177,116,Cantat-Gaudin et al. 2018
Gulliver_19      ,344.189,61.103,109.523,1.253,0.654,0.036,0.897,-2.285,8.5,0.196,145,Cantat-Gaudin et al. 2018
Gulliver_2       ,122.888,-37.422,254.634,-2.006,0.72,0.03,-4.929,4.617,7.4,0.17,67,Cantat-Gaudin et al. 2018
Gulliver_22      ,84.878,26.386,181.457,-2.493,1.321,0.064,-1.426,-4.694,6.8,0.156,27,Cantat-Gaudin et al. 2018
Gulliver_25      ,52.033,45.128,149.788,-9.416,0.74,0.033,0.904,-4.169,8.5,0.196,45,Cantat-Gaudin et al. 2018
Gulliver_26      ,80.704,35.278,172.055,-0.61,0.391,0.027,1.935,-2.874,8.7,0.2,65,Cantat-Gaudin et al. 2018
Gulliver_3       ,122.529,-37.249,254.333,-2.151,0.225,0.019,-2.914,4.127,8.6,0.198,47,Cantat-Gaudin et al. 2018
Gulliver_33      ,318.081,46.326,88.579,-1.412,0.87,0.031,0.311,-4.008,7.6,0.175,98,Cantat-Gaudin et al. 2018
Gulliver_40      ,163.103,-58.396,287.854,0.948,0.623,0.026,-7.726,2.516,7.7,0.177,36,Cantat-Gaudin et al. 2018
Gulliver_46      ,186.239,-61.975,299.826,0.737,0.232,0.016,-6.937,0.15,7.1,0.163,80,Cantat-Gaudin et al. 2018
Gulliver_47      ,107.921,0.839,214.496,4.887,0.492,0.028,-1.939,-0.464,8.5,0.196,87,Cantat-Gaudin et al. 2018
Gulliver_49      ,350.724,61.983,112.736,0.877,0.599,0.029,-3.981,-3.1,8.8,0.202,165,Cantat-Gaudin et al. 2018
Gulliver_5       ,132.61,-45.492,265.437,-0.894,0.427,0.017,-5.063,4.968,6.8,0.156,27,Cantat-Gaudin et al. 2018
Gulliver_50      ,181.392,-62.667,297.694,-0.263,0.551,0.025,-7.198,1.665,7.7,0.177,76,Cantat-Gaudin et al. 2018
Gulliver_53      ,81.01,34.014,173.241,-1.116,0.397,0.025,0.344,-2.909,8.4,0.193,36,Cantat-Gaudin et al. 2018
Gulliver_56      ,95.389,26.929,185.65,5.931,0.462,0.027,0.462,-3.207,8.5,0.196,26,Cantat-Gaudin et al. 2018
Gulliver_59      ,195.723,-64.607,304.16,-1.763,0.455,0.025,-2.43,-1.02,7.5,0.172,78,Cantat-Gaudin et al. 2018
Gulliver_60      ,303.445,29.692,68.434,-2.635,0.91,0.033,1.751,0.185,7.9,0.182,129,Cantat-Gaudin et al. 2018
Gulliver_8       ,80.553,33.812,173.194,-1.543,0.918,0.038,-0.235,-2.992,7.8,0.179,38,Cantat-Gaudin et al. 2018
Kronberger_25    ,275.666,-14.725,16.585,-0.465,0.285,0.021,-0.348,-1.894,6,0.138,23,Cantat-Gaudin et al. 2018
Alessi_44        ,295.286,1.553,40.067,-10.315,1.496,0.037,0.489,-2.355,7.82,0.18,220,Cantat-Gaudin et al. 2018
BH_150           ,204.502,-63.348,308.126,-0.947,0.205,0.018,-6.445,-1.558,6.16,0.142,55,Cantat-Gaudin et al. 2018
BH_217           ,259.079,-40.813,346.786,-1.514,0.348,0.028,-0.704,-1.839,6.66,0.153,129,Cantat-Gaudin et al. 2018
BH_245           ,266.562,-29.702,359.417,-0.516,0.325,0.029,-0.458,-2.272,5.92,0.136,44,Cantat-Gaudin et al. 2018
BH_87            ,151.16,-55.373,280.722,0.136,0.435,0.028,-6.343,2.63,8.44,0.194,199,Cantat-Gaudin et al. 2018
Basel_11a        ,109.301,-13.986,228.285,-0.763,0.72,0.033,-1.598,0.965,7.78,0.179,104,Cantat-Gaudin et al. 2018
ESO_130_06       ,181.957,-59.305,297.383,3.096,1.236,0.028,-11.292,-0.834,7.88,0.181,72,Cantat-Gaudin et al. 2018
ESO_368_11       ,116.095,-34.633,249.387,-5.249,0.46,0.026,-0.828,2.306,8.56,0.197,113,Cantat-Gaudin et al. 2018
