Seq,Cluster,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,GLON,GLAT,plx,e_plx,u_plx,pmRA*,e_pmRA*,pmDE,e_pmDE,logt,e_logt,RV,s_RV,e_RV,o_RV,N,Ref,SimbadName
1289,ASCC_68          ,180.683,0.336,-60.917,0.18,297.046,1.396,0.246,0.019,1,-7.949,0.185,1.069,0.098,8.6,      ,       ,      ,     ,  ,15,MWSC                     ,[KPR2005] 68             
1290,Ruprecht_99      ,180.977,0.215,-63.848,0.123,297.723,-1.458,0.274,0.014,1,-6.124,0.224,0.691,0.108,8.375,      ,       ,      ,     ,  ,102,MWSC                     ,Ruprecht 99              
1291,Ruprecht_100     ,181.432,0.166,-62.617,0.085,297.703,-0.21,0.326,0.021,1,-6.169,0.11,0.717,0.072,8.6,      ,-7.49,      ,0.11,1,60,MWSC                     ,Ruprecht 100             
1292,ASCC_69          ,181.576,0.397,-69.778,0.135,299.022,-7.25,0.149,0.088,0,-6.188,0.091,0.618,0.06,7.91,      ,       ,      ,     ,  ,89,MWSC                     ,[KPR2005] 69             
1295,Loden_565        ,181.947,0.169,-60.705,0.122,297.615,1.715,0.303,0.016,1,-7.354,0.282,1.025,0.132,8.375,      ,       ,      ,     ,  ,24,MWSC                     ,Cl Loden 565             
1296,DBSB_75          ,182.269,0.085,-63.265,0.038,298.189,-0.784,0.315,0.023,1,-6.202,0.278,0.741,0.18,6,      ,       ,      ,     ,  ,49,MWSC                     ,[DBS2003] 75             
1297,Ruprecht_101     ,182.412,0.207,-62.988,0.084,298.208,-0.5,0.35,0.025,1,-6.446,0.074,0.539,0.059,8.87,0.022,11.09,      ,0.12,1,106,MWSC                     ,Ruprecht 101             
1298,ESO_130-08       ,182.562,0.184,-59.46,0.078,297.713,2.994,0.733,0.022,1,-5.976,0.037,-0.797,0.032,9.01,0.032,       ,      ,     ,  ,28,MWSC                     ,ESO 130-08               
1299,Ruprecht_102     ,183.41,0.17,-62.714,0.088,298.616,-0.16,0.37,0.028,1,-6.643,0.121,0.506,0.071,7.5,      ,       ,      ,     ,  ,111,MWSC                     ,Ruprecht 102             
1300,FSR_1602         ,183.424,0.091,-56.79,0.047,297.755,5.702,0.213,0.018,1,-6.616,0.257,1.23,0.13,9.1,      ,-36.16,      ,0.21,1,32,MWSC                     ,[FSR2007] 1602           
1301,Saurer_4         ,183.494,0.055,-63.582,0.016,298.779,-1.013,0.338,0.223,0,-6.569,0.22,0.471,0.161,9.18,      ,       ,      ,     ,  ,20,MWSC                     ,Saurer 4                 
1302,ASCC_70          ,183.614,0.288,-64.385,0.145,298.947,-1.8,0.35,0.02,1,-6.252,0.109,0.339,0.08,6.92,      ,       ,      ,     ,  ,148,MWSC                     ,[KPR2005] 70             
1303,DBSB_129         ,183.868,0.053,-62.919,0.022,298.852,-0.332,0.433,0.034,1,-5.992,0.232,0.061,0.15,6,      ,       ,      ,     ,  ,28,MWSC                     ,[DBS2003] 129            
1304,NGC_4230         ,184.289,0.108,-55.1,0.064,297.999,7.443,0.289,0.019,1,-6.451,0.282,-0.176,0.1,8.945,0.083,       ,      ,     ,  ,34,MWSC                     ,NGC 4230                 
1305,FSR_1626         ,185.172,0.594,-81.506,0.119,301.737,-18.706,0.41,0.028,1,-7.082,0.334,1.047,0.332,9.6,      ,       ,      ,     ,  ,44,MWSC                     ,[FSR2007] 1626           
1306,Loden_615        ,185.1,0.262,-64.738,0.098,299.627,-2.066,0.366,0.02,1,-6.15,0.218,0.373,0.117,8.63,      ,       ,      ,     ,  ,131,MWSC                     ,Cl Loden 615             
1307,ASCC_71          ,185.189,0.292,-67.54,0.12,299.998,-4.843,0.142,0.166,0,-5.3,0.105,0.032,0.072,8,      ,       ,      ,     ,  ,56,MWSC                     ,[KPR2005] 71             
1308,FSR_1608         ,185.305,0.135,-57.174,0.074,298.826,5.456,0.312,0.025,1,-7.319,0.171,0.158,0.101,9.2,      ,       ,      ,     ,  ,61,MWSC                     ,[FSR2007] 1608           
1309,Melotte_111      ,185.531,1.624,25.699,1.575,223.643,83.1,11.617,0.039,1,-12.141,0.107,-8.969,0.119,8.84,0.037,-0.3,0.18,0.04,16,32,MWSC                     ,Melotte 111              
1310,ESO_130-13       ,185.787,0.122,-59.657,0.058,299.361,3.019,0.39,0.019,1,-4.451,0.028,-0.363,0.025,8.445,      ,       ,      ,     ,  ,17,MWSC                     ,ESO 130-13               
1311,NGC_4337         ,185.989,0.114,-58.127,0.06,299.299,4.551,0.379,0.022,1,-8.838,0.024,1.516,0.013,9.15,      ,-15.66,2.07,0.29,4,51,MWSC                     ,NGC 4337                 
1312,NGC_4349         ,186.049,0.171,-61.869,0.064,299.726,0.833,0.523,0.023,1,-7.85,0.013,-0.247,0.014,8.41,      ,-11.57,0.06,0.04,8,119,MWSC                     ,NGC 4349                 
1313,FSR_1610         ,186.077,0.089,-56.17,0.053,299.138,6.501,0.398,0.037,1,-4.948,0.247,0.056,0.138,9.3,      ,       ,      ,     ,  ,29,MWSC                     ,[FSR2007] 1610           
1314,ESO_064-05       ,186.318,0.135,-68.498,0.076,300.527,-5.749,0.364,0.027,1,-6.089,0.319,0.409,0.151,7.885,      ,       ,      ,     ,  ,58,MWSC                     ,ESO 064-05               
1315,Ruprecht_104     ,186.262,0.093,-60.423,0.059,299.678,2.282,0.193,0.013,1,-8.459,0.476,0.062,0.092,8.89,0.03,30.91,      ,0.21,1,11,MWSC                     ,Ruprecht 104             
1317,Loden_624        ,186.511,0.337,-61.813,0.164,299.938,0.911,0.27,0.019,1,-6.806,0.068,0.157,0.041,7.6,      ,       ,      ,     ,  ,56,MWSC                     ,Cl Loden 624             
1319,Collinder_258    ,186.758,0.228,-60.758,0.106,299.954,1.973,0.797,0.03,1,-7.058,0.011,-0.236,0.011,8.35,      ,-28,      ,0.02,1,124,Cantat-Gaudin et al. 2018,Collinder 258            
1320,FSR_1609         ,186.984,0.064,-48.483,0.062,298.918,14.206,0.454,0.032,1,-6.394,0.505,0.114,0.277,9.35,      ,-1.57,6.61,1.23,2,29,MWSC                     ,[FSR2007] 1609           
1321,NGC_4439         ,187.134,0.133,-60.111,0.056,300.079,2.634,0.468,0.022,1,-6.908,0.097,-0.406,0.051,7.71,      ,       ,      ,     ,  ,38,MWSC                     ,NGC 4439                 
1322,Hogg_14          ,187.201,0.083,-59.779,0.031,300.083,2.967,0.319,0.024,1,-5.937,0.407,0.115,0.264,8.1,      ,       ,      ,     ,  ,30,MWSC                     ,Hogg 14                  
1323,Hogg_23          ,187.097,0.109,-60.928,0.045,300.134,1.819,0.466,0.028,1,-6.702,0.174,-0.125,0.115,8.31,      ,-39.84,      ,0.05,1,40,MWSC                     ,Hogg 23                  
1324,FSR_1617         ,187.1,0.242,-66.56,0.078,300.639,-3.791,0.367,0.028,1,-6.376,0.205,0.028,0.114,8.9,      ,       ,      ,     ,  ,141,MWSC                     ,[FSR2007] 1617           
1325,FSR_1616         ,187.338,0.131,-63.469,0.07,300.469,-0.703,0.392,0.029,1,-6.375,0.216,0.113,0.099,8.3,      ,       ,      ,     ,  ,85,MWSC                     ,[FSR2007] 1616           
1326,ESO_131-09       ,187.414,0.112,-57.875,0.098,300.029,4.874,0.466,0.028,1,-6.09,0.374,0.029,0.243,8.9,      ,1.26,      ,0.06,1,79,MWSC                     ,ESO 131-09               
1327,NGC_4463         ,187.519,0.071,-64.784,0.033,300.658,-2.007,0.539,0.025,1,-5.384,0.073,-0.307,0.054,7.97,      ,       ,      ,     ,  ,27,MWSC                     ,NGC 4463                 
1328,ASCC_72          ,188.277,0.188,-60.896,0.087,300.704,1.896,0.378,0.022,1,-5.946,0.148,-0.213,0.101,8.205,      ,       ,      ,     ,  ,69,MWSC                     ,[KPR2005] 72             
1329,Ruprecht_105     ,188.422,0.154,-61.555,0.09,300.819,1.243,0.395,0.028,1,-7.162,0.11,-0.488,0.085,9.1,      ,       ,      ,     ,  ,15,MWSC                     ,Ruprecht 105             
1330,DBSB_77          ,188.734,0.048,-61.657,0.026,300.974,1.152,0.546,0.03,1,-6.03,0.395,-0.837,0.253,6.3,      ,       ,      ,     ,  ,25,MWSC                     ,[DBS2003] 77             
1331,FSR_1629         ,188.696,0.413,-80.962,0.089,302.244,-18.113,0.476,0.037,1,-7.235,0.334,-0.12,0.281,9.7,      ,       ,      ,     ,  ,54,MWSC                     ,[FSR2007] 1629           
1332,DBSB_78          ,188.998,0.065,-61.845,0.036,301.111,0.972,0.424,0.02,1,-6.297,0.645,-0.209,0.283,6,      ,       ,      ,     ,  ,25,MWSC                     ,[DBS2003] 78             
1333,FSR_1623         ,189.081,0.164,-66.938,0.07,301.449,-4.109,0.288,0.02,1,-6.235,0.173,-0.161,0.085,8.9,      ,29.52,7.56,0.91,2,69,MWSC                     ,[FSR2007] 1623           
1334,ASCC_73          ,189.029,0.336,-67.253,0.105,301.447,-4.425,0.279,0.024,1,-6.063,0.158,0.056,0.07,8.19,      ,       ,      ,     ,  ,131,MWSC                     ,[KPR2005] 73             
1335,Collinder_261    ,189.484,0.231,-68.369,0.082,301.682,-5.53,0.359,0.023,1,-6.379,0.011,-2.68,0.01,9.7,      ,-24.85,0.14,0.02,8,205,MWSC                     ,Collinder 261            
1336,FSR_1622         ,189.452,0.112,-63.279,0.061,301.401,-0.448,0.259,0.099,0,-6.259,0.088,-0.207,0.055,8.6,      ,20.16,      ,0.07,1,65,MWSC                     ,[FSR2007] 1622           
1337,FSR_1621         ,189.8,0.128,-57.366,0.08,301.275,5.466,0.502,0.026,1,-5.999,0.224,0.166,0.211,8,      ,       ,      ,     ,  ,64,MWSC                     ,[FSR2007] 1621           
1338,Trumpler_20      ,189.907,0.18,-60.667,0.097,301.485,2.172,0.283,0.02,1,-7.1,0.018,0.184,0.01,9.325,      ,-30.37,2.96,0.26,12,128,MWSC                     ,Trumpler 20              
1339,FSR_1625         ,190.214,0.193,-58.382,0.058,301.541,4.461,0.439,0.03,1,-6.745,0.264,-0.313,0.135,8.875,      ,       ,      ,     ,  ,103,MWSC                     ,[FSR2007] 1625           
1340,NGC_4609         ,190.566,0.136,-62.983,0.052,301.89,-0.13,0.681,0.027,1,-4.898,0.028,-0.99,0.023,8.1,0.062,       ,      ,     ,  ,41,MWSC                     ,NGC 4609                 
1341,Hogg_15          ,190.875,0.08,-63.103,0.03,302.034,-0.245,0.301,0.022,1,-6.193,0.091,-0.396,0.047,6.6,      ,       ,      ,     ,  ,35,MWSC                     ,Hogg 15                  
1342,FSR_1631         ,191.544,0.606,-81.244,0.075,302.721,-18.375,0.588,0.036,1,-7.195,0.424,-0.732,0.245,9.5,      ,48.39,      ,0.05,1,84,MWSC                     ,[FSR2007] 1631           
1343,Loden_682        ,191.816,0.216,-60.697,0.089,302.421,2.17,0.522,0.025,1,-6.627,0.167,-0.557,0.181,8.47,      ,       ,      ,     ,  ,51,MWSC                     ,Cl Loden 682             
1344,FSR_1630         ,192.227,0.164,-62.156,0.053,302.636,0.715,0.429,0.031,1,-6.73,0.3,-0.432,0.122,6.4,      ,       ,      ,     ,  ,75,MWSC                     ,[FSR2007] 1630           
1345,DBSB_79          ,192.238,0.071,-63.719,0.055,302.657,-0.849,0.308,0.027,1,-6.528,0.279,-0.209,0.143,8.4,      ,       ,      ,     ,  ,41,MWSC                     ,[DBS2003] 79             
1346,DBSB_80          ,192.568,0.061,-61.584,0.028,302.793,1.288,0.693,0.037,1,-6.086,0.691,0.152,0.365,6.9,      ,       ,      ,     ,  ,26,MWSC                     ,[DBS2003] 80             
1347,ESO_065-03       ,192.74,0.229,-69.762,0.068,302.89,-6.89,0.385,0.034,1,-5.008,0.14,-0.725,0.18,8.96,0.038,       ,      ,     ,  ,14,MWSC                     ,ESO 065-03               
1349,NGC_4755         ,193.415,0.208,-60.374,0.081,303.207,2.496,0.476,0.023,1,-4.693,0.005,-1.08,0.006,7.3,      ,       ,      ,     ,  ,652,Cantat-Gaudin et al. 2018,NGC 4755                 
1350,NGC_4815         ,194.49,0.095,-64.957,0.041,303.623,-2.094,0.306,0.022,1,-5.822,0.026,-0.931,0.021,8.6,0.052,-27.97,0.38,0.11,2,79,MWSC                     ,NGC 4815                 
1351,NGC_4852         ,195.052,0.126,-59.585,0.061,304.044,3.268,0.764,0.029,1,-8.207,0.026,-1.207,0.035,8.635,0.06,       ,      ,     ,  ,46,MWSC                     ,NGC 4852                 
1352,FSR_1638         ,195.191,0.159,-71.386,0.044,303.684,-8.528,0.228,0.016,1,-6.87,0.341,-0.61,0.137,9.5,      ,27.12,7.93,1.02,2,61,MWSC                     ,[FSR2007] 1638           
1353,FSR_1640         ,198.061,0.348,-77.432,0.066,304.1,-14.608,0.484,0.028,1,-6.74,0.411,-1.138,0.186,9.2,      ,       ,      ,     ,  ,39,MWSC                     ,[FSR2007] 1640           
1354,Loden_757        ,197.885,0.188,-65.238,0.085,305.037,-2.449,0.343,0.018,1,-5.529,0.387,-0.797,0.282,8.07,0.078,       ,      ,     ,  ,35,MWSC                     ,Cl Loden 757             
1355,Danks_1          ,198.141,0.027,-62.704,0.024,305.351,0.068,0.133,0.084,0,-7.105,0.082,-0.568,0.069,6,      ,       ,      ,     ,  ,12,MWSC                     ,Danks 1                  
1356,Danks_2          ,198.218,0.074,-62.682,0.017,305.388,0.087,0.196,0.177,0,-6.933,0.122,-0.969,0.126,6.3,      ,       ,      ,     ,  ,26,MWSC                     ,Danks 2                  
1357,DBSB_133         ,198.507,0.088,-62.389,0.054,305.546,0.368,0.317,0.135,0,-7.061,0.142,-0.966,0.056,8.335,0.079,       ,      ,     ,  ,71,MWSC                     ,[DBS2003] 133            
1358,NGC_5045         ,198.586,0.346,-63.404,0.151,305.493,-0.647,0.395,0.026,1,-6.623,0.09,-1.14,0.053,7.955,0.159,       ,      ,     ,  ,174,MWSC                     ,NGC 5045                 
1360,NGC_5043         ,199.046,0.184,-60.072,0.085,306.017,2.652,0.438,0.024,1,-6.373,0.222,-0.987,0.133,8.6,      ,       ,      ,     ,  ,140,MWSC                     ,NGC 5043                 
1361,FSR_1646         ,199.073,0.057,-54.206,0.067,306.602,8.488,0.136,0.09,0,-8.52,0.158,-0.371,0.19,9.35,      ,-17.72,      ,0.22,1,14,MWSC                     ,[FSR2007] 1646           
1362,Collinder_268    ,199.545,0.11,-67.059,0.041,305.54,-4.323,0.381,0.016,1,-5.631,0.108,-0.442,0.049,8.79,      ,       ,      ,     ,  ,30,MWSC                     ,Collinder 268            
1363,DBSB_85          ,199.601,0.081,-62.653,0.025,306.023,0.056,0.517,0.032,1,-6.461,0.566,-1.23,0.24,7.45,      ,       ,      ,     ,  ,34,MWSC                     ,[DBS2003] 85             
1364,Stock_16         ,199.837,0.078,-62.625,0.033,306.134,0.073,0.307,0.025,1,-6.813,0.137,-1.142,0.165,6.78,      ,-38.12,      ,0.03,1,52,MWSC                     ,Stock 16                 
1365,FSR_1649         ,199.925,0.091,-56.183,0.06,306.882,6.471,0.294,0.027,1,-6.259,0.316,-0.703,0.108,9.15,      ,-23.73,2.53,0.3,2,69,MWSC                     ,[FSR2007] 1649           
1366,Ruprecht_107     ,199.902,0.07,-64.949,0.024,305.91,-2.24,0.274,0.019,1,-6.726,0.295,-1.3,0.199,8.235,      ,       ,      ,     ,  ,28,MWSC                     ,Ruprecht 107             
1367,FSR_1648         ,199.979,0.067,-56.261,0.056,306.904,6.391,0.492,0.035,1,-5.474,0.537,-1.301,0.443,8.34,      ,       ,      ,     ,  ,22,MWSC                     ,[FSR2007] 1648           
1368,FSR_1645         ,200.327,0.157,-61.946,0.093,306.437,0.722,0.404,0.026,1,-6.689,0.118,-1.206,0.077,8,      ,       ,      ,     ,  ,97,MWSC                     ,[FSR2007] 1645           
1369,FSR_1642         ,200.674,0.24,-73.567,0.058,305.176,-10.832,0.455,0.035,1,-8.498,0.284,-3.459,0.245,9.5,      ,       ,      ,     ,  ,10,MWSC                     ,[FSR2007] 1642           
1370,Collinder_269    ,200.787,0.231,-66.204,0.116,306.128,-3.53,0.271,0.025,1,-6.818,0.186,-1.534,0.194,8.55,      ,       ,      ,     ,  ,42,MWSC                     ,Collinder 269            
1371,ESO_324-15       ,200.886,0.058,-41.889,0.045,309.307,20.585,0.449,0.035,1,-5.75,0.85,-0.783,0.463,9.7,      ,       ,      ,     ,  ,33,MWSC                     ,ESO 324-15               
1372,Loden_821        ,201.06,0.188,-59.817,0.12,307.049,2.792,0.421,0.031,1,-7.148,0.09,-1.285,0.073,7.455,      ,       ,      ,     ,  ,150,MWSC                     ,Cl Loden 821             
1373,Loden_807        ,201.08,0.163,-62.484,0.073,306.719,0.145,0.361,0.026,1,-6.42,0.144,-1.476,0.083,8.3,      ,       ,      ,     ,  ,108,MWSC                     ,Cl Loden 807             
1374,FSR_1651         ,201.394,0.147,-58.974,0.065,307.328,3.606,0.393,0.028,1,-6.87,0.135,-1.428,0.08,9.4,      ,-11.86,3.17,0.32,2,97,MWSC                     ,[FSR2007] 1651           
1375,NGC_5138         ,201.821,0.068,-59.026,0.05,307.539,3.524,0.51,0.024,1,-3.585,0.1,-1.361,0.062,7.55,      ,       ,      ,     ,  ,39,MWSC                     ,NGC 5138                 
1376,Basel_18         ,201.939,0.151,-62.333,0.071,307.134,0.242,0.546,0.029,1,-5.56,0.165,-1.639,0.097,7.92,      ,       ,      ,     ,  ,49,MWSC                     ,Basel 18                 
1377,Hogg_16          ,202.342,0.125,-61.244,0.051,307.479,1.292,0.45,0.027,1,-3.582,0.064,-1.602,0.043,7.95,      ,       ,      ,     ,  ,33,MWSC                     ,Hogg 16                  
1378,ESO_065-07       ,202.308,0.172,-71.263,0.053,305.989,-8.616,0.362,0.023,1,-5.838,0.284,-2.059,0.155,9.4,      ,-22.99,2.95,0.47,4,40,MWSC                     ,ESO 065-07               
1379,NGC_5155         ,202.432,0.166,-63.444,0.094,307.196,-0.889,0.383,0.025,1,-6.311,0.183,-1.445,0.096,7.4,      ,       ,      ,     ,  ,127,MWSC                     ,NGC 5155                 
1380,Collinder_271    ,202.549,0.124,-64.194,0.047,307.136,-1.639,0.221,0.208,0,-6.63,0.179,-1.35,0.105,7.2,      ,       ,      ,     ,  ,60,MWSC                     ,Collinder 271            
1381,FSR_1657         ,202.519,0.108,-58.729,0.057,307.94,3.767,0.315,0.026,1,-6.827,0.135,-1.482,0.106,9,      ,-105.93,      ,0.12,1,124,MWSC                     ,[FSR2007] 1657           
1382,Collinder_272    ,202.721,0.195,-61.337,0.102,307.645,1.173,0.332,0.033,1,-6.698,0.103,-1.047,0.097,7.02,      ,       ,      ,     ,  ,25,MWSC                     ,Collinder 272            
1383,NGC_5168         ,202.78,0.102,-60.934,0.067,307.735,1.567,0.382,0.023,1,-6.625,0.141,-1.629,0.098,8.25,      ,       ,      ,     ,  ,31,MWSC                     ,NGC 5168                 
1384,Trumpler_21      ,203.097,0.099,-62.785,0.051,307.594,-0.284,0.719,0.028,1,-4.708,0.072,-2.232,0.058,7.85,      ,       ,      ,     ,  ,17,MWSC                     ,Trumpler 21              
1385,DBSB_87          ,203.204,0.081,-60.448,0.026,308.016,2.015,0.567,0.036,1,-6.975,0.4,-2.063,0.193,8,      ,       ,      ,     ,  ,38,MWSC                     ,[DBS2003] 87             
1386,FSR_1653         ,203.47,0.125,-63.026,0.073,307.723,-0.55,0.362,0.025,1,-6.397,0.139,-1.639,0.063,8.85,      ,-52.23,      ,0.3,1,62,MWSC                     ,[FSR2007] 1653           
1387,Loden_915        ,203.478,0.322,-59.322,0.147,308.335,3.104,0.365,0.022,1,-6.128,0.204,-1.328,0.185,8.445,      ,       ,      ,     ,  ,147,MWSC                     ,Cl Loden 915             
1388,Loden_848        ,203.639,0.244,-64.495,0.115,307.554,-2.011,0.367,0.02,1,-6.189,0.152,-1.632,0.082,8.75,      ,-32.9,2.99,0.3,2,98,MWSC                     ,Cl Loden 848             
1389,C1331-622        ,203.65,0.116,-62.405,0.057,307.907,0.049,0.446,0.027,1,-6.201,0.202,-1.813,0.094,9.25,      ,-5.94,      ,0.17,1,89,MWSC                     ,C1331-622                
1390,Collinder_275    ,203.623,0.137,-60.224,0.046,308.257,2.202,0.404,0.019,1,-6.555,0.17,-1.5,0.125,8.6,      ,-40.46,      ,0.07,1,57,MWSC                     ,Collinder 275            
1391,FSR_1650         ,203.966,0.141,-68.032,0.09,307.084,-5.52,0.236,0.019,1,-7.825,0.564,-2.662,0.433,9,      ,       ,      ,     ,  ,10,MWSC                     ,[FSR2007] 1650           
1392,ASCC_74          ,203.942,0.174,-58.82,0.082,308.654,3.558,0.163,0.173,0,-6.004,0.132,-1.254,0.078,8.63,0.048,       ,      ,     ,  ,39,MWSC                     ,[KPR2005] 74             
1393,Pismis_18        ,204.243,0.111,-62.089,0.063,308.233,0.313,0.382,0.026,1,-5.745,0.053,-2.176,0.048,8.975,      ,-30.57,      ,0.27,1,41,MWSC                     ,Pismis 18                
1395,FSR_1659         ,204.517,0.134,-62.443,0.079,308.296,-0.058,0.454,0.033,1,-6.174,0.186,-1.823,0.08,8.315,      ,       ,      ,     ,  ,92,MWSC                     ,[FSR2007] 1659           
1396,FSR_1663         ,205.223,0.07,-60.202,0.035,309.044,2.082,0.436,0.027,1,-5.057,0.08,-2.373,0.064,8.15,      ,       ,      ,     ,  ,31,MWSC                     ,[FSR2007] 1663           
1397,Platais_10       ,205.081,1.12,-58.771,0.239,309.244,3.496,0.283,0.019,1,-7.27,0.178,-2.005,0.19,8.34,      ,       ,      ,     ,  ,28,MWSC                     ,Platais 10               
1398,FSR_1654         ,205.46,0.168,-67.71,0.029,307.699,-5.306,0.493,0.026,1,-6.295,0.502,-1.86,0.231,8.78,0.031,       ,      ,     ,  ,31,MWSC                     ,[FSR2007] 1654           
1399,SAI_118          ,205.793,0.124,-63.162,0.054,308.732,-0.874,0.527,0.021,1,-4.545,0.072,-2.184,0.043,7.3,      ,       ,      ,     ,  ,22,MWSC                     ,SAI 118                  
1400,NGC_5269         ,206.196,0.171,-62.907,0.058,308.963,-0.662,0.533,0.028,1,-4.645,0.069,-2.051,0.041,8.52,0.1,       ,      ,     ,  ,51,MWSC                     ,NGC 5269                 
1401,Loden_1010       ,206.26,0.157,-60.237,0.08,309.542,1.945,0.37,0.025,1,-6.311,0.161,-1.73,0.091,8.825,      ,       ,      ,     ,  ,66,MWSC                     ,Cl Loden 1010            
1402,Loden_991        ,206.308,0.107,-62.059,0.054,309.188,0.158,0.425,0.03,1,-5.795,0.223,-2.009,0.169,7.25,      ,       ,      ,     ,  ,52,MWSC                     ,Cl Loden 991             
1403,FSR_1647         ,206.359,0.262,-73.956,0.083,306.706,-11.482,0.438,0.027,1,-6.464,0.313,-2.897,0.119,9.455,      ,       ,      ,     ,  ,61,MWSC                     ,[FSR2007] 1647           
1404,NGC_5281         ,206.583,0.215,-62.917,0.066,309.133,-0.708,0.61,0.024,1,-4.707,0.029,-2.279,0.034,7.76,      ,       ,      ,     ,  ,76,MWSC                     ,NGC 5281                 
1405,NGC_5284         ,206.633,0.231,-59.215,0.097,309.94,2.905,0.377,0.023,1,-6.221,0.294,-1.621,0.239,7,      ,       ,      ,     ,  ,73,MWSC                     ,NGC 5284                 
1406,ASCC_75          ,206.763,0.193,-62.404,0.077,309.323,-0.224,0.396,0.031,1,-6.489,0.131,-2.36,0.086,6.65,      ,       ,      ,     ,  ,31,MWSC                     ,[KPR2005] 75             
1407,Collinder_277    ,207.052,0.345,-66.061,0.103,308.654,-3.822,0.597,0.024,1,-9.262,0.008,-4.107,0.008,8.3,      ,-28.07,0.14,0.02,15,206,Cantat-Gaudin et al. 2018,Collinder 277            
1408,NGC_5288         ,207.191,0.075,-64.679,0.029,309.015,-2.486,0.39,0.022,1,-3.907,0.017,-1.909,0.009,9.1,      ,-21.47,1.29,0.16,3,113,MWSC                     ,NGC 5288                 
1409,FSR_1673         ,207.55,0.097,-50.692,0.059,312.354,11.101,0.453,0.029,1,-6.799,0.481,-1.597,0.343,9.5,      ,-11.67,8.96,1.22,2,54,MWSC                     ,[FSR2007] 1673           
1410,NGC_5299         ,207.603,0.106,-59.939,0.054,310.261,2.091,0.463,0.025,1,-5.91,0.294,-1.733,0.139,8.7,      ,-33.92,1.53,0.16,3,95,MWSC                     ,NGC 5299                 
1411,ASCC_76          ,208.113,0.268,-66.408,0.108,308.993,-4.257,0.157,0.142,0,-6.486,0.114,-2.07,0.075,7.75,      ,       ,      ,     ,  ,68,MWSC                     ,[KPR2005] 76             
1412,Platais_12       ,208.243,0.611,-63.301,0.259,309.779,-1.251,0.301,0.022,1,-6.454,0.118,-2.119,0.065,8.4,      ,-43.94,      ,0.06,1,203,MWSC                     ,Platais 12               
1413,Loden_1095       ,208.393,0.13,-59.744,0.063,310.692,2.188,0.455,0.03,1,-6.157,0.234,-2.143,0.139,8.55,      ,-32.47,      ,0.12,1,88,MWSC                     ,Cl Loden 1095            
1414,NGC_5316         ,208.523,0.224,-61.86,0.077,310.247,0.118,0.687,0.026,1,-6.323,0.019,-1.501,0.02,8.23,      ,-14.56,0.08,0.03,3,71,MWSC                     ,NGC 5316                 
1415,Loden_995        ,208.6,0.159,-64.91,0.088,309.546,-2.85,0.321,0.021,1,-5.821,0.246,-1.904,0.151,8.625,      ,-16.25,      ,0.08,1,121,MWSC                     ,Cl Loden 995             
1416,Loden_1002       ,208.69,0.176,-65.321,0.065,309.483,-3.257,0.402,0.027,1,-6.068,0.243,-1.796,0.166,8,      ,       ,      ,     ,  ,126,MWSC                     ,Cl Loden 1002            
1417,FSR_1668         ,208.697,0.122,-61.554,0.069,310.401,0.395,0.433,0.025,1,-5.881,0.207,-2.179,0.091,8.9,      ,       ,      ,     ,  ,113,MWSC                     ,[FSR2007] 1668           
1418,FSR_1658         ,208.765,0.196,-70.788,0.047,308.164,-8.566,0.295,0.025,1,-7.75,0.16,-2.471,0.141,9.55,      ,-15.78,8.13,1.39,3,34,MWSC                     ,[FSR2007] 1658           
1419,FSR_1669         ,209.035,0.099,-61.77,0.052,310.504,0.147,0.611,0.034,1,-6.036,0.146,-1.936,0.123,8,      ,       ,      ,     ,  ,47,MWSC                     ,[FSR2007] 1669           
1421,FSR_1661         ,209.465,0.149,-69.367,0.061,308.759,-7.25,0.366,0.027,1,-6.844,0.21,-2.26,0.155,9.4,      ,-46.01,12.73,2.22,2,33,MWSC                     ,[FSR2007] 1661           
1422,Loden_1101       ,209.529,0.167,-61.781,0.066,310.727,0.078,0.339,0.027,1,-5.896,0.193,-2.11,0.117,6.55,      ,       ,      ,     ,  ,43,MWSC                     ,Cl Loden 1101            
1423,Loden_1177       ,209.784,0.133,-57.874,0.065,311.857,3.82,0.312,0.025,1,-6.084,0.162,-1.867,0.105,9.175,0.019,-2.34,      ,0.06,1,112,MWSC                     ,Cl Loden 1177            
1424,Loden_1171       ,209.869,0.129,-58.435,0.087,311.755,3.266,0.501,0.019,1,-6.524,0.581,-2.244,0.36,8.59,      ,       ,      ,     ,  ,64,MWSC                     ,Cl Loden 1171            
1425,Loden_1152       ,209.852,0.143,-59.332,0.062,311.512,2.402,0.451,0.032,1,-6.15,0.17,-2.074,0.113,8.065,0.092,       ,      ,     ,  ,160,MWSC                     ,Cl Loden 1152            
1426,Lynga_1          ,210.013,0.157,-62.146,0.083,310.853,-0.334,0.463,0.029,1,-5.46,0.146,-2.267,0.093,8.39,      ,-32.03,      ,0.06,1,83,MWSC                     ,Lynga 1                  
1427,NGC_5381         ,210.191,0.12,-59.579,0.065,311.614,2.119,0.392,0.024,1,-6.136,0.034,-2.947,0.025,8.65,      ,-38.89,0.04,0.04,4,78,MWSC                     ,NGC 5381                 
